start;end;pitch;velocity;instrument;duration
0.15;0.33593749999999994;41;96;Piano;0.18593749999999995
0.15;0.33593749999999994;65;96;Piano;0.18593749999999995
0.525;0.7718749999999999;53;96;Piano;0.24687499999999984
0.525;1.1765625;65;96;Piano;0.6515624999999999
0.7749999999999999;0.9984375;55;96;Piano;0.22343750000000007
1.0;1.1859375;56;96;Piano;0.1859375000000001
1.1875;1.4140624999999998;72;96;Piano;0.22656249999999978
1.4249999999999998;1.6109375000000001;53;96;Piano;0.1859375000000003
1.4249999999999998;1.6015625;68;96;Piano;0.17656250000000018
1.6125;1.828125;64;96;Piano;0.21562499999999996
1.85;2.0359375;37;96;Piano;0.1859375000000001
1.85;2.0265625;65;96;Piano;0.17656249999999973
2.0375;2.2140625000000003;64;96;Piano;0.17656250000000018
2.225;2.4109375;53;96;Piano;0.1859375000000001
2.225;2.765625;65;96;Piano;0.5406249999999999
2.4125;2.5984375;55;96;Piano;0.1859375000000001
2.6;2.821875;56;96;Piano;0.22187499999999982
2.8249999999999997;3.028125;72;96;Piano;0.20312500000000044
3.05;3.2609375000000003;53;96;Piano;0.21093750000000044
3.05;3.2515625000000004;68;96;Piano;0.20156250000000053
3.2625;3.4390625000000004;64;96;Piano;0.17656250000000018
3.45;3.671875;44;96;Piano;0.22187499999999982
3.45;3.5671874999999997;65;96;Piano;0.11718749999999956
3.575;3.784375;66;96;Piano;0.20937499999999964
3.8;3.9171875;64;96;Piano;0.1171875
3.925;4.1109375;53;96;Piano;0.18593750000000053
3.925;4.4578125;65;96;Piano;0.5328125000000004
4.1125;4.2984375;55;96;Piano;0.18593750000000053
4.3;4.4859374999999995;56;96;Piano;0.18593749999999964
4.4875;4.664062500000001;72;96;Piano;0.17656250000000107
4.675000000000001;4.9109375;53;96;Piano;0.23593749999999947
4.675000000000001;4.901562500000001;68;96;Piano;0.2265625
4.9125000000000005;5.0890625;65;96;Piano;0.1765624999999993
5.1;5.4734375;58;127;Piano;0.37343750000000053
5.1;5.4546875;73;96;Piano;0.3546875000000007
5.475;5.909375;46;96;Piano;0.4343750000000002
5.475;5.909375;70;96;Piano;0.4343750000000002
5.95;6.1234375;73;49;Piano;0.17343749999999947
6.125;6.2484375;70;49;Piano;0.12343749999999964
6.25;6.4234375;69;49;Piano;0.17343750000000036
6.425000000000001;6.6109374999999995;70;49;Piano;0.18593749999999876
6.85;7.035937499999999;46;96;Piano;0.18593749999999964
6.85;7.035937499999999;70;96;Piano;0.18593749999999964
7.25;7.5015625;58;96;Piano;0.25156250000000036
7.25;7.9265625;70;96;Piano;0.6765625000000002
7.5125;7.728125;60;96;Piano;0.21562500000000018
7.75;7.9359375;61;96;Piano;0.18593749999999964
7.9375;8.1140625;77;96;Piano;0.1765624999999993
8.125;8.3109375;58;96;Piano;0.18593749999999964
8.125;8.301562500000001;73;96;Piano;0.17656250000000107
8.3125;8.4890625;69;96;Piano;0.1765624999999993
8.5;8.6859375;49;96;Piano;0.18593749999999964
8.5;8.6765625;70;96;Piano;0.1765624999999993
8.6875;8.8640625;69;96;Piano;0.1765624999999993
8.875;9.101562499999998;58;96;Piano;0.22656249999999822
8.875;9.465625;70;96;Piano;0.5906249999999993
9.112499999999999;9.2890625;60;96;Piano;0.17656250000000107
9.3;9.521875;61;96;Piano;0.22187499999999893
9.525000000000002;9.714062499999999;77;96;Piano;0.1890624999999968
9.725;9.9109375;58;96;Piano;0.18593749999999964
9.725;9.901562499999999;73;96;Piano;0.1765624999999993
9.9125;10.089062499999999;69;96;Piano;0.1765624999999993
10.1;10.321875;43;96;Piano;0.2218750000000007
10.1;10.2171875;70;96;Piano;0.1171875
10.225;10.3921875;71;96;Piano;0.1671875000000007
10.4;10.5171875;69;96;Piano;0.1171875
10.525;10.701562499999998;58;96;Piano;0.1765624999999975
10.525;11.065625;70;96;Piano;0.5406250000000004
10.712499999999999;10.8890625;60;96;Piano;0.17656250000000107
10.9;11.121875000000001;61;96;Piano;0.2218750000000007
11.125000000000002;11.3140625;77;96;Piano;0.18906249999999858
11.325;11.510937499999999;58;96;Piano;0.18593749999999964
11.325;11.501562499999999;73;96;Piano;0.1765624999999993
11.5125;11.689062499999999;70;96;Piano;0.1765624999999993
11.7;12.012239583333333;60;127;Piano;0.31223958333333357
11.7;12.009114583333334;76;96;Piano;0.30911458333333464
