start;end;pitch_class;voice
1.26;1.929;5;1
1.26;1.929;5;2
1.26;1.929;5;3
1.26;1.929;5;4
1.93;1.974;7;1
1.93;1.974;7;2
1.93;1.974;7;3
1.93;1.974;7;4
1.975;2.079;5;1
1.975;2.079;5;2
1.975;2.079;5;3
1.975;2.079;5;4
2.08;2.269;4;1
2.08;2.269;4;2
2.08;2.269;4;3
2.08;2.269;4;4
2.27;2.519;5;1
2.27;2.519;5;2
2.27;2.519;5;3
2.27;2.519;5;4
2.52;3.019;0;1
2.52;3.019;0;2
2.52;3.019;0;3
2.52;3.019;0;4
3.74;4.369;5;1
3.74;4.369;5;2
3.74;4.369;5;3
3.74;4.369;5;4
4.37;4.414;7;1
4.37;4.414;7;2
4.37;4.414;7;3
4.37;4.414;7;4
4.415;4.519;5;1
4.415;4.519;5;2
4.415;4.519;5;3
4.415;4.519;5;4
4.52;4.709;4;1
4.52;4.709;4;2
4.52;4.709;4;3
4.52;4.709;4;4
4.71;4.919;5;1
4.71;4.919;5;2
4.71;4.919;5;3
4.71;4.919;5;4
4.92;5.419;2;1
4.92;5.419;2;2
4.92;5.419;2;3
4.92;5.419;2;4
6.24;6.829;5;1
6.24;8.159;10;2
6.24;7.439;2;3
6.24;7.439;2;4
6.83;6.954;7;1
6.955;7.039;5;1
7.04;7.229;4;1
7.23;7.439;5;1
7.44;8.159;7;1
7.44;9.159;0;3
7.44;8.659;4;4
8.16;8.659;10;1
8.16;8.659;7;2
8.66;9.599;9;1
8.66;9.599;5;2
8.66;9.159;5;4
9.16;9.599;2;3
9.16;9.599;2;4
9.6;9.814;2;1
9.6;9.814;10;2
9.6;9.939;7;3
9.6;9.939;10;4
9.815;9.939;10;1
9.815;9.939;7;2
9.94;10.819;9;1
9.94;10.819;5;2
9.94;10.149;0;3
9.94;11.259;0;4
10.15;10.379;11;3
10.38;10.569;0;3
10.57;10.819;11;3
10.82;11.259;7;1
10.82;11.259;4;2
10.82;11.259;0;3
11.26;11.949;5;1
11.26;11.949;5;2
11.26;11.949;5;3
11.26;11.949;5;4
11.95;11.994;7;1
11.95;11.994;7;2
11.95;11.994;7;3
11.95;11.994;7;4
11.995;12.099;5;1
11.995;12.099;5;2
11.995;12.099;5;3
11.995;12.099;5;4
12.1;12.309;4;1
12.1;12.309;4;2
12.1;12.309;4;3
12.1;12.309;4;4
12.31;12.519;5;1
12.31;12.519;5;2
12.31;12.519;5;3
12.31;12.519;5;4
12.52;13.019;0;1
12.52;13.019;0;2
12.52;13.019;0;3
12.52;13.019;0;4
13.72;14.369;5;1
13.72;14.369;5;2
13.72;14.369;5;3
13.72;14.369;5;4
14.37;14.414;7;1
14.37;14.414;7;2
14.37;14.414;7;3
14.37;14.414;7;4
14.415;14.479;5;1
14.415;14.479;5;2
14.415;14.479;5;3
14.415;14.479;5;4
14.48;14.709;4;1
14.48;14.709;4;2
14.48;14.709;4;3
14.48;14.709;4;4
14.71;14.939;5;1
14.71;14.939;5;2
14.71;14.939;5;3
14.71;14.939;5;4
14.94;15.439;2;1
14.94;15.439;2;2
14.94;15.439;2;3
14.94;15.439;2;4
16.18;16.749;5;1
16.75;16.794;7;1
16.795;16.919;5;1
16.92;17.149;4;1
17.15;17.339;5;1
17.34;18.159;9;1
17.34;18.564;4;2
17.34;18.564;10;3
17.34;18.564;1;4
18.16;18.564;7;1
18.565;19.089;7;1
19.09;19.154;9;1
19.155;19.279;7;1
19.28;19.449;6;1
19.45;19.699;7;1
19.7;20.559;10;1
19.7;20.899;0;2
19.7;20.899;3;3
19.7;20.899;6;4
20.56;20.899;9;1
20.9;21.469;9;1
21.47;21.534;10;1
21.535;21.659;9;1
21.66;21.789;7;1
21.79;22.039;9;1
22.04;22.709;0;1
22.04;22.709;3;2
22.04;22.709;6;3
22.04;22.709;10;4
22.71;22.939;10;1
22.71;22.939;2;2
22.71;22.939;7;3
22.71;22.939;10;4
22.94;23.09;9;1
22.94;23.09;0;2
22.94;23.09;9;3
22.94;23.09;10;4
23.09;23.339;7;1
23.09;23.339;10;2
23.09;23.339;10;3
23.09;23.339;10;4
23.34;24.139;5;1
23.34;24.139;9;2
23.34;24.139;0;3
23.34;24.139;0;4
24.14;24.17;7;1
24.14;24.17;10;2
24.14;24.639;4;3
24.14;24.639;0;4
